요양기관명,시도코드명,시군구코드명,주소,전화번호,개설일자,좌표(x),좌표(y)
제일성모약국,서울,동대문구,"서울특별시 동대문구 약령시로 126, 1층 (청량리동)",02-965-9114,20090102,127.0440061,37.5829559
탑약국,서울,강남구,"서울특별시 강남구 언주로 627, 1층 (논현동)",02-6191-0020,20230904,127.0351372,37.5125246
금창약국,서울,동대문구,"서울특별시 동대문구 약령시로 3, 1층 (제기동)",928-6985,20141208,127.0301301,37.5828078
석산약국,서울,성북구,"서울특별시 성북구 오패산로1길 1, (하월곡동)",02-912-2020,19800207,127.0368415,37.6034744
왕십리약국,서울,성동구,"서울특별시 성동구 무학봉길 92, (하왕십리동)",02-2292-4247,19820726,127.0322163,37.5622059
상도약국,서울,성동구,"서울특별시 성동구 행당로17길 32, 누보빌딩 105호 (행당동)",02-2292-5485,19670221,127.032557,37.5610862
더조은약국,인천,인천서구,"인천광역시 서구 원당대로 856, 마크포레스트 어반 B102호 (당하동)",032-562-9270,20230904,126.6965865,37.593307
안양왕약국,경기,안양만안구,"경기도 안양시 만안구 안양로 293, (안양동)",031-441-4111,20190311,126.9214334,37.3983255
오늘약국,서울,서초구,"서울특별시 서초구 강남대로95길 38, 1층 (잠원동)",070-8287-1493,20230413,127.0179207,37.513494
참다운약국,전북,전주덕진구,"전라북도 전주시 덕진구 도당산1길 13, (우아동3가)",,20230419,127.1539848,35.8458819
신시심야약국,전북,전주완산구,"전라북도 전주시 완산구 홍산중앙로 46, 1층 102호 (효자동3가)",,20230424,127.1093332,35.8176135
건강약국,부산,부산사하구,"부산광역시 사하구 장림번영로 59, 그랑프라자빌딩 103호 (장림동)",051-265-0525,20230901,128.9719889,35.0809393
킴스약국,부산,부산금정구,"부산광역시 금정구 중앙대로1985번길 1, (남산동)",051-516-1859,20150625,129.0913661,35.2615078
제일약국,서울,송파구,"서울특별시 송파구 백제고분로 457, 다우빌딩 (방이동)",417-8486,20190930,127.1126512,37.5115228
새동해약국,경북,포항남구,"경상북도 포항시 남구 중앙로122번길 29, (해도동)",054-282-1003,20171226,129.3715131,36.0245812
통영항약국,경남,통영시,"경상남도 통영시 새터길 15, (도천동, 성모의원)",055-643-4520,20221024,128.4176827,34.8408406
행복약국,인천,인천계양구,"인천광역시 계양구 장제로 1004, 107호 (박촌동, 계양한양수자인)",032-552-2050,20220421,126.7463043,37.5547854
기장메디칼약국,부산,부산기장군,"부산광역시 기장군 기장읍 읍내로 116, 1층",051-723-2080,20180102,129.2170665,35.2449069
하얀약국,서울,관악구,"서울특별시 관악구 난곡로 327-1, 1층 (신림동)",02-867-8271,20191111,126.9139652,37.4833043
보리약국,전남,순천시,"전라남도 순천시 중앙5길 5, 보리약국 (장천동)",061-743-3005,20230425,127.4845414,34.9520147
마음약국,서울,동대문구,"서울특별시 동대문구 왕산로 183, 1층 (청량리동)",02-964-0675,20210419,127.0435913,37.5799292
시장약국,강원,정선군,"강원특별자치도 정선군 정선읍 비봉로 52-1, ()",033-562-3840,20040629,128.6640982,37.3810521
서현약국,경기,성남분당구,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 106호 (서현동)",031-709-3665,20230503,127.1247778,37.3837934
가비약국,대구,대구수성구,"대구광역시 수성구 동대구로 86, 1층 101호 (지산동)",053-764-3332,20230501,128.6246499,35.8378001
모두온누리약국,서울,관악구,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",875-5955,20180704,126.9575645,37.4798287
약대종로약국,경기,부천시,"경기도 부천시 중동로 426, 창안빌딩 1층 (삼정동)",032-677-0541,20180731,126.7704527,37.517752
이화약국,경기,안성시,"경기도 안성시 죽산면 죽주로 226-1, ()",031-676-6031,20000902,127.4206077,37.0739069
금약국,서울,구로구,"서울특별시 구로구 고척로 132, 서정빌딩 1층 2호 (개봉동)",,20200526,126.848664,37.5022298
새봄약국,서울,송파구,"서울특별시 송파구 풍성로 55, 1층 (풍납동)",02-474-3118,20221118,127.1186881,37.5339811
스마일약국,경기,용인기흥구,"경기도 용인시 기흥구 마북로154번길 3, 테라스가든 B빌딩 202-2호 (마북동)",,20230116,127.1240106,37.3037362
로얄약국,경기,부천시,"경기도 부천시 길주로 307, 117호 (중동, 로얄프라자)",032-328-4098,20120904,126.7767628,37.5034899
아이사랑약국,전남,나주시,"전라남도 나주시 문화로 216, 101~102호 (빛가람동)",061-930-6383,20180627,126.7851801,35.0177883
모아약국,경기,안산단원구,"경기도 안산시 단원구 원초로 30, 3층 302호 (원곡동, 보성프라자)",031-484-1276,20071031,126.8017332,37.3283895
벧엘약국,인천,인천남동구,"인천광역시 남동구 구월로 212, 216호 (구월동, 힐캐슬프라자)",032-462-9934,20160112,126.7140509,37.4560189
로데오약국,경기,파주시,"경기도 파주시 금릉역로 84, 청원센트럴타워 101호 (금촌동)",031-943-6253,20230407,126.765954,37.7521117
365그랜드약국,서울,금천구,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223,20220708,126.9017344,37.4558772
보성약국,경기,남양주시,"경기도 남양주시 와부읍 덕소로97번길 7, 1층",521-3646,20151014,127.2128471,37.5860408
라온약국,전북,군산시,"전라북도 군산시 월명로 219, 1층 (수송동)",063-462-1056,20230420,126.71513,35.9636742
법원천하약국,경기,파주시,"경기도 파주시 법원읍 술이홀로 873, 102호",031-959-9002,20150302,126.8726287,37.8492818
제일온누리약국,경기,안양만안구,"경기도 안양시 만안구 안양로 407, 102호 (안양동)",070-7633-3870,20230424,126.9143619,37.4069474
동신약국,경기,고양덕양구,"경기도 고양시 덕양구 용현로 27, 103호 (행신동, 행신프라자)",031-972-3111,20001212,126.8356424,37.6152314
유림약국,경기,안양동안구,"경기도 안양시 동안구 흥안대로 502, (관양동)",031-421-3973,19740613,126.9774842,37.3987841
다보온누리약국,경기,안양만안구,"경기도 안양시 만안구 안양천서로 177, 지하1층 (안양동, 래미안안양메가트리아)",031-446-3936,20081229,126.9336534,37.3940293
아라큰약국,경남,함안군,"경상남도 함안군 산인면 학산2길 17-52, ()",055-585-7335,20220722,128.4321612,35.2747071
설약국,서울,관악구,"서울특별시 관악구 남부순환로 1805, 1층 (봉천동)",02-883-7701,20230904,126.9508622,37.4817866
구월대형약국,인천,인천남동구,"인천광역시 남동구 남동대로 780, 1,2층 1호 (구월동)",032-466-2736,20160714,126.7084598,37.4519501
원곡태양약국,경기,안성시,"경기도 안성시 원곡면 만세로 1069, ()",031-691-6174,20220322,127.1599151,37.0497304
동문약국,경기,구리시,"경기도 구리시 건원대로 47, (인창동)",,20121203,127.1395516,37.6052186
진하약국,부산,부산기장군,"부산광역시 기장군 일광면 일광로 609, 609",051-728-6123,20130510,129.2587409,35.2965245
홍주한약국,충남,홍성군,"충청남도 홍성군 홍성읍 의사로 49, 49",041-632-2303,20020528,126.6709952,36.6019497
365 열시약국,광주,광주북구,"광주광역시 북구 군왕로 297, 365 열시약국 (각화동)",,20230110,126.9358542,35.1870944
서평택약국,경기,평택시,"경기도 평택시 포승읍 포승향남로 148, 148",031-684-9964,20120625,126.866432,36.9876686
봄한약국,강원,홍천군,"강원특별자치도 홍천군 홍천읍 꽃뫼로 54-3, ()",033-435-0020,20020828,127.8796672,37.6905719
이수약국,충북,영동군,"충청북도 영동군 영동읍 난계로 1202, ()",043-743-3054,20230421,127.773863,36.1720214
한림약국,서울,강동구,"서울특별시 강동구 성안로 149, 1층 (천호동)",02-486-9743,20230327,127.1347213,37.5365899
21세기상계약국,서울,노원구,"서울특별시 노원구 동일로 1548, (상계동)",937-2288,20050401,127.0576424,37.6666795
암사조은온누리약국,서울,강동구,"서울특별시 강동구 고덕로 133, 상가동 511호 (암사동, 강동롯데캐슬퍼스트아파트)",426-3666,20100401,127.1403474,37.5552527
삼성정문약국,서울,강남구,"서울특별시 강남구 일원로 95, 109호 (일원동, 신영프라자)",3412-4416,20120314,127.0834812,37.485765
동산약국,서울,노원구,"서울특별시 노원구 동일로 1280, 1층 109호,110호 (중계동, 무지개아파트단지내상가)",948-9476,20040203,127.0657409,37.6434962
다솜약국,대구,대구남구,"대구광역시 남구 대명로 123, 1층 (대명동)",.,20220214,128.5712194,35.8396279
행복약국,서울,동작구,"서울특별시 동작구 등용로 115, 101호 (대방동, 엘리시아빌딩)",02-822-9095,20190806,126.9317563,37.5114623
논현이화약국,인천,인천남동구,"인천광역시 남동구 논고개로 101, 505-1호 (논현동, 아름다운타워)",032-437-3308,20170105,126.7243667,37.4000007
힘찬약국,경기,성남중원구,"경기도 성남시 중원구 희망로 316, 1층 (상대원동)",031-605-5122,20200813,127.1591729,37.4344042
경희약국,울산,울산남구,"울산광역시 남구 번영로 109, 106호 (달동)",052-260-2672,20181105,129.328588,35.53515
한독큰약국,광주,광주서구,"광주광역시 서구 풍암순환로 183, 117동 2층 211-1호 (풍암동, 우미광장아파트)",062-651-8477,20230412,126.8812499,35.1268362
우리아이약국,충남,천안동남구,"충청남도 천안시 동남구 만남로 50, 1층 104호 (신부동, 터미널프라자)",041-555-0103,20160905,127.1576124,36.8186482
로타리약국,부산,부산진구,"부산광역시 부산진구 중앙대로 613, (범천동)",051-633-9145,20230401,129.0586309,35.1475615
면목이화온누리약국,서울,중랑구,"서울특별시 중랑구 겸재로 201, 1층 (면목동, 봄작시티 201)",02-434-3155,20230203,127.090038,37.5891469
참약사 더봄약국,경북,구미시,"경상북도 구미시 송정대로 34, 1층 (송정동)",054-456-1023,20230216,128.3426075,36.1173322
햇님약국,부산,부산금정구,"부산광역시 금정구 중앙대로1685번길 15, 1층 (부곡동)",051-582-6119,20200810,129.0909076,35.2348348
한시까지약국,서울,영등포구,"서울특별시 영등포구 영등포로 250-1, (영등포동3가)",02-2632-7700,20181017,126.9091128,37.5188312
D마트약국,강원,원주시,"강원특별자치도 원주시 천사로 50, 1층 (단계동, 새동빌딩)",033-746-0114,20010112,127.9309947,37.3475681
예쁜나무약국,인천,인천연수구,"인천광역시 연수구 랜드마크로 20, 상가동 215호 (송도동, 호반써밋 송도)",,20230427,126.6245371,37.4160764
현대약국,서울,관악구,"서울특별시 관악구 관악로 233, 1층 101호 (봉천동)",02-877-3272,20230906,126.9555655,37.4855026
예손약국,경기,의왕시,"경기도 의왕시 안양판교로 99, 스마일타워 1층 101호 (포일동)",,20220801,126.9851245,37.3956065
수정약국,경기,의왕시,"경기도 의왕시 전주남이길 8, 102동 111호 (오전동, 목화케이티이자리에)",031-427-2944,20181203,126.9755511,37.3504088
준약국,경기,화성시,"경기도 화성시 동탄대로5길 15, 더샵 동탄센텀폴리스 1단지 4층 4008,4009호 (송동)",031-377-6234,20230502,127.1051928,37.1660662
바른약국,경기,의정부시,"경기도 의정부시 부용로 105, 프레티넘프라자2 109호 (금오동)",031-853-6700,20230509,127.0693544,37.7512937
대신약국,경북,김천시,"경상북도 김천시 시청로 74, (신음동)",054-433-8327,20230504,128.1176873,36.1350712
하늘약국,인천,인천중구,"인천광역시 중구 운남로 167, 허브빌딩 101,102호 (운남동)",032-777-2812,20180604,126.5329514,37.4926109
광양밝은약국,전남,광양시,"전라남도 광양시 광양읍 숲샘길 129, 1층",061-761-1889,20230501,127.5888955,34.9710099
명동스타약국,서울,중구,"서울특별시 중구 남대문로 84, 7층 (남대문로2가)",02-6260-2070,20230510,126.982883,37.564678
보룡약국,서울,노원구,"서울특별시 노원구 동일로 1380, 상계동 국민은행 (상계동)",02-979-6000,20210311,127.0616737,37.65174
온누리대광약국,서울,영등포구,"서울특별시 영등포구 도림로38길 4, (대림동)",02-849-1330,20060201,126.8972201,37.492652
믿음약국,전북,전주완산구,"전라북도 전주시 완산구 쑥고개로 347, 101호 (효자동2가)",063-223-9019,20230502,127.1032124,35.8034103
논현약국,서울,강남구,"서울특별시 강남구 선릉로129길 22, 1층 (논현동, 고영빌딩)",02-544-3922,20031216,127.0396693,37.5161365
2층약국,서울,강남구,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",02-2057-2003,20230503,127.0544858,37.4824625
약나라약국,서울,금천구,"서울특별시 금천구 시흥대로 104, 1층 (시흥동)",02-803-7071,20020814,126.9041633,37.4433559
하남정문약국,경기,하남시,"경기도 하남시 덕풍공원로 39, 1층 (덕풍동)",031-8027-8239,20220526,127.1978622,37.539791
최선약국,서울,동대문구,"서울특별시 동대문구 전농로 36, (답십리동)",02-3394-5170,20200706,127.0574429,37.5680203
송탄효자약국,경기,평택시,"경기도 평택시 탄현로 317, (신장동)",031-666-5449,20180316,127.0552674,37.0807577
시네마약국,경기,양주시,"경기도 양주시 옥정로 200, 옥정시네마엠디프라자 105호 (옥정동)",031-868-5897,20200410,127.0921335,37.8194236
신세계약국,충남,금산군,"충청남도 금산군 금산읍 향군길 17-1, ()",041-752-5773,20000819,127.4914365,36.1059275
라파엘약국,서울,강서구,"서울특별시 강서구 강서로 460, 평안빌딩 1층 101호 (등촌동)",02-3662-3335,20230501,126.8411109,37.5663373
참소망약국,서울,송파구,"서울특별시 송파구 양재대로 1222, 올림픽프라자 3층 15호 (방이동)",02-408-3393,20200302,127.1310632,37.5157277
이화정문약국,서울,강서구,"서울특별시 강서구 마곡중앙4로 74, 104~105호 (마곡동)",2662-4863,20190610,126.8349216,37.5578848
새그린약국,서울,송파구,"서울특별시 송파구 토성로 58, (풍납동)",02-473-6688,20120601,127.1160973,37.5290315
설파약국,서울,동대문구,"서울특별시 동대문구 전농로 134, (전농동)",02-2245-4501,19651023,127.0580145,37.576847
오름약국,제주,서귀포시,"제주특별자치도 서귀포시 중정로 70, (서귀동)",064-803-0550,20230501,126.5638319,33.2477781
다정약국,서울,서초구,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 1층 (반포동)",02-543-8006,20230502,127.0218693,37.5090965
강남성지약국,서울,서초구,"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)",,20230427,127.0262161,37.4998653
종로5가미래약국,서울,종로구,"서울특별시 종로구 종로 211-1, 소암빌딩 1층 (종로5가)",02-766-5466,20230501,127.0012655,37.5712127
정문약국,경기,양주시,"경기도 양주시 화합로 1493, 메디타운 상가1층 105호 (고암동)",031-863-0501,20210528,127.0733345,37.8378239
현화메디컬약국,경기,평택시,"경기도 평택시 안중읍 안현로서8길 17, ()",031-686-9111,20090901,126.923344,36.9787443
윤약국,경기,양평군,"경기도 양평군 용문면 용문로 384, 1층",031-771-2300,20230426,127.5957797,37.4859745
참우리약국,경기,안산단원구,"경기도 안산시 단원구 선부광장1로 38, 상록타운 2층 209호 (선부동)",031-439-8288,20230428,126.809388,37.3366486
라라약국,충남,천안서북구,"충청남도 천안시 서북구 오성6길 4, 102호 (두정동)",041-568-3737,20181022,127.1276148,36.8317807
송도봄약국,인천,인천연수구,"인천광역시 연수구 해돋이로 161, 세종프라자 106호 (송도동)",032-851-8835,20230502,126.6454053,37.3945216
편한약국,충남,아산시,"충청남도 아산시 온천대로1740번길 9, 아람메디컬빌딩 1층 104-1호 (풍기동)",041-545-5356,20230503,127.0299423,36.77421
수약국,경기,남양주시,"경기도 남양주시 도농로 24, 2층 225-1호 (다산동, 부영애시앙)",031-553-3301,20230421,127.15859,37.6087966
양천그린약국,서울,양천구,"서울특별시 양천구 신월로 338, 101호 (신정동)",02-0000-0000,20230426,126.858544,37.5215371
사랑약국,서울,금천구,"서울특별시 금천구 시흥대로 189, 1층 103호 (시흥동)",02-743-2800,20230411,126.9014452,37.4506922
1층엔약국,서울,강남구,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014,20200716,127.0195523,37.5174876
나라약국,경기,화성시,"경기도 화성시 향남읍 상신하길로298번길 7-29, 114호",031-366-1509,20230427,126.9126023,37.1143487
새뜸365약국,세종시,세종시,"세종특별자치시 새롬중앙로 41, 무지개타워 110호 (새롬동)",044-867-0365,20210315,127.2512409,36.4845279
전일약국,전남,여수시,"전라남도 여수시 문수로 86, (문수동)",061-654-3150,20230426,127.7045298,34.7542571
완산약국,경북,영천시,"경상북도 영천시 시장로 53, (완산동)",054-331-0005,20040423,128.9360513,35.9636026
광장약국,경기,오산시,"경기도 오산시 대원로 2, (원동)",031-375-8747,20171110,127.068693,37.1462902
건강약국,전남,담양군,"전라남도 담양군 담양읍 중앙로 34, ()",061-938-9942,20230427,126.983481,35.3163198
용머리약국,제주,서귀포시,"제주특별자치도 서귀포시 안덕면 사계남로216번길 29, ()",070-7757-7128,20230102,126.3103562,33.2338148
압구정예주약국,서울,강남구,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",02-545-3819,20181102,127.0270243,37.5317975
그랜드온누리약국,서울,동대문구,"서울특별시 동대문구 장한로 14, (장안동)",070-4229-1954,20101202,127.0657671,37.5626145
알파약국,서울,송파구,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 지하1층 비101-3호 (신천동)",02-422-2261,20210901,127.1025391,37.5145775
편한약국,서울,용산구,"서울특별시 용산구 서빙고로 17, 용산센트럴파크 해링턴스퀘어 1층 47호 (한강로3가)",02-793-8887,20120102,126.9678526,37.5257665
엔씨(NC)약국,서울,강서구,"서울특별시 강서구 강서로56길 17, 지하1층 (등촌동)",2667-9852,20120216,126.8405062,37.5599572
올리브약국,서울,은평구,"서울특별시 은평구 응암로 308, (응암동)",02-359-3841,20130702,126.9213852,37.5987018
신세명약국,서울,동작구,"서울특별시 동작구 서달로 163, (흑석동)",02-812-0993,20130712,126.9623927,37.5078889
행복이열리는약국,서울,성동구,"서울특별시 성동구 독서당로 299-2, 1층 (금호동3가)",02-2253-6060,20170807,127.0224541,37.5483587
수정약국,서울,영등포구,"서울특별시 영등포구 영등포로36길 16, (영등포동4가)",02-2678-2358,20130809,126.903369,37.5187919
은평오렌지약국,서울,은평구,"서울특별시 은평구 진관2로 29-21, 113,114호 (진관동, 드림스퀘어)",02-389-5553,20130828,126.9193479,37.6357288
피플팜문래약국,서울,영등포구,"서울특별시 영등포구  당산로 34-0, (문래동3가)",02-2672-9672,20130902,126.8964938,37.5174632
아이메디칼약국,서울,성북구,"서울특별시 성북구 동소문로46길 18, 101호, 102호 (하월곡동, 삼전솔하임3차)",02-942-3365,20180226,127.029956,37.606851
종로수약국,서울,관악구,"서울특별시 관악구 보라매로 4, 1층 (봉천동)",02-877-0789,20150327,126.9279887,37.4899707
가까운우리약국,서울,은평구,"서울특별시 은평구 통일로 1031, 101호 (진관동)",,20211014,126.9166424,37.6346447
뉴욕약국,서울,강남구,"서울특별시 강남구 테헤란로 107, 1층 (역삼동)",070-4147-3039,20150409,127.0287237,37.498664
행복약국,서울,영등포구,"서울특별시 영등포구 양평로 127, (양평동5가)",02-2631-6967,20150518,126.8935171,37.5377915
서안약국,서울,용산구,"서울특별시 용산구 효창원로 142, (효창동, 중앙병원)",02-713-3757,20151231,126.9620171,37.5404798
시티온누리약국,서울,용산구,"서울특별시 용산구 한강대로 283, (갈월동, 시티파크타워)",02-715-7800,20151231,126.97196,37.5434454
메디칼우리약국,서울,노원구,"서울특별시 노원구 동일로 1044, 1층 (공릉동)",971-6040,20160502,127.0740647,37.6233742
드림약국,서울,노원구,"서울특별시 노원구 동일로 1677, 1층 (상계동, 제성빌딩)",02-937-0400,20160609,127.0549827,37.6781893
라임약국,서울,동작구,"서울특별시 동작구 여의대방로 142, (대방동)",02-813-7779,20170206,126.920671,37.49968
양재뿌리약국,서울,서초구,"서울특별시 서초구 남부순환로 2585, 25호 (서초동, 양재역)",02-572-4799,20170207,127.0345442,37.4839347
연세희망약국,서울,은평구,"서울특별시 은평구 연서로 175, (갈현동)",02-353-3589,20170801,126.9175499,37.6145489
햇님약국,서울,광진구,"서울특별시 광진구 천호대로111길 19, (중곡동)",02-777-0012,20170808,127.0822923,37.5573511
여의도플러스약국,서울,영등포구,"서울특별시 영등포구 여의공원로 101, C.C.M.M빌딩 B117호 (여의도동)",02-3775-0995,20180119,126.9248993,37.5292711
이화메디약국,서울,영등포구,"서울특별시 영등포구 당산로 122, 우미빌딩 1층 102호 (당산동3가)",,20180709,126.8969496,37.5254126
이소약국,서울,강서구,"서울특별시 강서구 강서로 242, 상가동 4층 17호 (화곡동, 강서힐스테이트)",02-2699-8681,20180730,126.8367634,37.5473848
더참사랑약국,서울,광진구,"서울특별시 광진구 아차산로 361, 1층 (자양동)",02-455-7077,20230307,127.0828891,37.5369605
곰돌이스타약국,서울,서초구,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)",02-595-8795,20181227,126.9904493,37.4933691
복조리약국,서울,강동구,"서울특별시 강동구 천호대로187길 61, 1층 (길동)",02-477-1024,20190325,127.1428397,37.5371204
밝은마음약국,서울,강남구,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 110호 (신사동)",02-6203-7770,20190702,127.027762,37.5240297
망원그랜드약국,서울,마포구,"서울특별시 마포구 월드컵로 79, 유용빌딩 1층 (망원동)",02-322-2862,20200416,126.9098535,37.5559537
나음온누리약국,서울,강동구,"서울특별시 강동구 올림픽로 620, 예투빌딩 1층 (성내동)",02-488-0803,20180823,127.1231362,37.5367954
새빛약국,서울,노원구,"서울특별시 노원구 동일로 1405, 국민은행노원지점 1층 (상계동)",02-3391-7770,20200624,127.0601763,37.6538336
고덕3층약국,서울,강동구,"서울특별시 강동구 고덕로 266, 고덕역 대명벨리온 312호 (명일동)",02-429-9929,20210818,127.1551146,37.5546937
